start;end;utterance
10.120000000000001;10.82; It's
10.82;11.08; very
11.08;12.66; difficult.
13.96;14.66; Yeah,
14.66;15.36; I
15.36;15.56; don't
15.56;15.8; know
15.8;16.4; why.
16.82;17.08; Congress
17.08;17.46; was
17.46;17.74; just
17.74;18.0; stubborn
18.0;18.36; about
18.36;18.66; it
18.66;19.18; until
19.18;19.6; the
19.6;20.02; last
20.02;20.84; year
20.84;21.96; they
21.96;22.3; hadn't
22.3;22.56; been
22.56;22.88; able
22.88;22.98; to
22.98;23.32; get
23.32;23.44; up
23.44;23.62; as
23.62;23.98; 50
23.98;25.8; percent
25.8;26.08; of
26.08;26.3; the
26.3;26.58; time
26.58;26.94; and
26.94;27.0; so
27.0;27.2; the
27.2;27.48; teachers
27.48;27.78; were
27.78;28.16; screaming
28.16;28.82; and
28.82;28.92; they
28.92;29.08; were
29.08;29.38; split
29.38;29.54; and
29.54;29.7; the
29.7;29.84; kids
29.84;30.12; up
30.12;30.22; and
30.22;30.46; putting
30.46;30.78; them
30.78;30.9; in
30.9;31.16; other
31.16;31.62; classrooms.
32.42;32.42; Well,
32.7;32.8; I
32.8;32.98; don't
32.98;33.18; know
33.18;33.24; if
33.24;33.5; the
33.5;33.74; parents
33.74;34.38; made
34.38;35.06; anything
35.06;35.46; about
35.46;35.66; it,
35.78;35.78; but
35.78;35.96; I
35.96;36.34; guess
36.34;37.02; finally,
37.56;37.58; you
37.58;37.78; know,
37.92;37.98; when
37.98;38.28; you
38.28;38.54; have
38.54;38.94; 50
38.94;39.32; percent
39.32;39.44; of
39.44;39.66; your
39.66;40.08; classrooms
40.08;40.92; uncovered,
42.16;42.2; they
42.2;42.74; came
42.74;42.94; to
42.94;43.14; it
43.14;43.18; and
43.18;43.44; it
43.44;43.62; got
43.62;43.82; so
43.82;44.1; used
44.1;44.3; to
44.3;44.38; be
44.38;44.76; nobody
44.76;45.42; appreciated
45.42;45.86; a
45.86;46.18; substitute.
47.36;47.38; The
47.38;47.68; kids,
47.86;47.94; the
47.94;48.2; principal
48.2;48.54; or
48.54;48.74; the
48.74;48.92; other
48.92;49.26; teachers.
49.5;49.56; But
49.56;49.76; now
49.76;50.06; it's
50.06;50.24; like,
50.3;50.52; well,
50.68;50.72; thank
50.72;50.9; you
50.9;51.08; for
51.08;51.38; coming.
52.24000000000001;52.84; So
52.84;53.26; I
53.26;53.44; said,
53.7;53.7; maybe
53.7;54.02; that
54.02;54.28; worked
54.28;54.44; a
54.44;54.6; little
54.6;54.86; bit,
55.16;55.16; but
55.16;55.46; now
55.46;55.74; just
55.74;55.9; in
55.9;56.0; the
56.0;56.3; last
56.3;56.58; two
56.58;57.08; weeks,
57.56;57.56; I
57.56;57.92; think
57.92;58.14; a
58.14;58.26; lot
58.26;58.42; of
58.42;58.56; the
58.56;58.82; retired
58.82;59.36; teachers
59.36;59.68; who
59.68;59.86; weren't
59.86;60.22; messing
60.22;60.68; around
60.68;60.96; with
60.96;61.14; it
61.14;61.32; have
61.32;61.52; come
61.52;61.88; back
61.88;62.84; in.
63.08;63.08; So
63.08;63.2; I
63.2;63.44; don't
63.44;63.68; know
63.68;64.0; exactly
64.0;64.22; what
64.22;64.68; the,
64.74;65.18; yeah.
66.2;66.36; So
66.36;69.02; what's
69.02;69.56; the
69.56;69.58; stock
69.58;69.96; you've
69.96;70.02; been
70.02;70.4; coming
70.4;70.72; from?
72.54;73.14; Well,
73.42;73.96; when
73.96;74.08; I
74.08;74.5; came
74.5;75.3; back
75.3;75.6; from
75.6;75.96; Oregon,
76.56;76.68; my
76.68;77.02; father
77.02;77.38; was
77.38;77.72; very
77.72;78.16; ill
78.16;78.76; and
78.76;79.04; so
79.04;79.1; I
79.1;79.4; didn't
79.4;79.6; want
79.6;79.88; full
79.88;80.18; time
80.18;80.42; work
80.42;80.58; and
80.58;80.74; I
80.74;81.12; started
81.12;81.86; substituting
81.86;82.28; out
82.28;82.78; in
82.78;83.12; Licking
83.12;84.62; County,
85.64;85.68; which
85.68;86.44; paid
86.44;87.58; terribly
87.58;88.24; load.
88.9;89.22; There's
89.22;89.34; all
89.34;89.58; these
89.58;89.94; little
89.94;90.34; districts
90.34;90.74; that
90.74;91.1; have
91.1;91.5; a
91.5;91.94; superintendent.
92.82;92.9; Well,
93.0;93.1; now
93.1;93.2; they
93.2;93.36; have
93.36;93.64; two
93.64;93.94; elementary,
94.14;94.38; one
94.38;94.62; middle
94.62;94.88; school,
94.9;95.08; one
95.08;95.34; high
95.34;95.56; school,
95.72;95.72; and
95.72;95.82; a
95.82;96.28; superintendent,
96.58;96.7; which
96.7;96.96; they
96.96;97.18; don't
97.18;97.54; need,
97.68;97.68; you
97.68;97.88; know.
98.38;98.5; So
98.5;98.9; they
98.9;99.04; have
99.04;99.7; straight
99.7;100.06; out
100.06;100.24; of
100.24;100.44; college,
100.84;100.86; always.
101.62;101.62; And
101.62;101.96; there
101.96;102.2; is
102.2;102.36; a
102.36;102.58; law
102.58;102.86; that
102.86;103.44; you
103.44;103.66; have
103.66;103.84; to
103.84;104.46; pay
104.46;104.88; for
104.88;105.12; your
105.12;105.66; accumulated
105.66;106.4; time.
106.4;107.02; So
107.02;107.2; I
107.2;107.46; couldn't
107.46;107.66; get
107.66;107.86; a
107.86;108.08; job
108.08;108.4; out
108.4;108.56; there
108.56;108.88; because
108.88;109.08; I
109.08;109.3; had
109.3;109.66; about
109.66;109.88; six
109.88;110.16; years
110.16;110.78; experience
110.78;111.0; they
111.0;111.26; had
111.26;111.44; to
111.44;111.46; pay
111.46;111.74; me
111.74;112.34; for.
112.62;112.72; So
112.72;112.78; I
112.78;113.02; came
113.02;113.38; back
113.38;113.74; into
113.74;114.12; Columbus
114.12;114.36; and
114.36;114.64; it's
114.64;114.76; a
114.76;114.92; lot
114.92;115.22; harder
115.22;115.44; to
115.44;115.7; work
115.7;115.94; in
115.94;116.26; Columbus
116.26;116.74; public,
117.22;117.96; but
117.96;119.22; I
119.22;119.58; know
119.58;119.9; the
119.9;120.32; territory.
120.32;120.64; I
120.64;120.78; know
120.78;121.02; where
121.02;121.26; I'm
121.26;121.54; going.
123.36;123.92; The
123.92;124.48; population
124.48;125.1; is
125.1;125.5; much
125.5;125.96; different,
126.92;126.92; yes.
128.82;128.98; Well,
129.16;129.36; you
129.36;130.4; have
130.4;130.56; an
130.56;130.86; urban
130.86;131.3; area
131.3;131.66; with
131.66;131.8; a
131.8;131.92; lot
131.92;132.16; of
132.16;132.38; poor
132.38;133.1; children,
134.14;134.2; a
134.2;134.28; lot
134.28;134.5; of
134.5;134.76; single
134.76;135.18; parent
135.18;135.64; families.
135.64;135.9; And
135.9;136.2; just
136.2;136.6; the
136.6;137.06; population
137.06;137.5; is
137.5;137.82; changing
137.82;138.5; period
138.5;139.5; from
139.5;139.92; the
139.92;140.18; two
140.18;140.52; parent
140.52;141.16; family,
141.84;141.84; very,
142.02;142.32; the
142.32;142.56; mother
142.56;142.84; not
142.84;143.28; working
143.28;143.94; into
143.94;144.6; one
144.6;144.94; parent
144.94;145.34; with
145.34;145.52; the
145.52;145.84; mother
145.84;146.24; working.
146.36;146.38; It
146.38;146.62; makes
146.62;146.8; a
146.8;147.06; big
147.06;147.44; difference
147.44;147.72; in
147.72;148.52; how
148.52;148.74; the
148.74;148.86; child
148.86;149.24; does
149.24;149.52; at
149.52;149.9; school.
156.28;156.94; Yes,
156.94;157.28; it's
157.28;157.6; definitely
157.6;157.98; having
157.98;158.52; effect
158.52;158.88; on
158.88;159.76; children
159.76;161.02; and
161.02;162.08; the
162.08;162.38; schools
162.38;162.64; are
162.64;162.94; trying
162.94;163.2; to
163.2;163.44; catch
163.44;163.78; up
163.78;163.84; or
163.84;164.12; make
164.12;164.36; up
164.36;164.58; for
164.58;164.66; it,
164.66;164.86; but
164.86;164.98; they
164.98;165.18; aren't
165.18;165.52; doing
165.52;165.84; it
165.84;166.16; yet.
166.42;166.6; Whether
166.6;166.86; they
166.86;167.1; will
167.1;167.22; be
167.22;167.5; able
167.5;167.64; to
167.64;167.84; pick
167.84;168.14; up
168.14;169.16; enough
