0.0, 0.45, '<SIL>'
0.45, 1.02, '<VOCNOISE>'
1.02, 2.7, '<SIL>'
2.7, 2.85, ''
2.85, 3.12, '<LAUGH_um-hum_okay>'
3.12, 3.3, '<IVER>'
3.3, 3.83, '@U k eI'
3.83, 5.03, '<IVER>'
5.03, 6.63, ''
6.63, 7.87, '<LAUGH>'
7.87, 8.05, ''
8.05, 10.555, '<IVER>'
10.555, 10.72, 'I t s'
10.72, 10.83, ''
10.83, 11.04, 'v E R i:'
11.04, 11.63, 'd I f V k V l t'
11.63, 14.075, '<IVER>'
14.075, 14.18, 'j E'
14.18, 15.2, '<SIL>'
15.2, 15.25, ''
15.25, 15.32, 'aI'
15.32, 15.52, 'd @U n t'
15.52, 15.59, 'n @U'
15.59, 15.92, 'w aI'
15.92, 16.29, '<SIL>'
16.29, 16.52, '<VOCNOISE>'
16.52, 16.69, '@'
16.69, 16.75, ''
16.75, 17.14, 'k V l V m b V s'
17.14, 17.3, 'w Q z'
17.3, 17.65, 'dZ V s t'
17.65, 17.7, ''
17.7, 18.0, 's t V b 3` n'
18.0, 18.35, 'V b aU t'
18.35, 18.51, 'I t'
18.51, 18.95, 'V n t I l'
18.95, 19.25, ''
19.25, 19.36, '<VOCNOISE>'
19.36, 19.44, 'D V'
19.44, 19.92, 'l { s t'
19.92, 20.03, ''
20.03, 20.5, 'j I R'
20.5, 20.87, ''
20.87, 21.015, '<VOCNOISE>'
21.015, 21.42, '@'
21.42, 21.66, '<SIL>'
21.66, 21.89, 'D eI'
21.89, 22.49, 'h { d V n t'
22.49, 22.52, '<ERROR-beyn_able=been_able>'
22.52, 22.81, 'eI b V l'
22.81, 22.89, 't u:'
22.89, 23.12, 'g E t'
23.12, 23.28, ''
23.28, 23.58, 's V b z'
23.58, 23.63, ''
23.63, 23.91, 'f I f t i:'
23.91, 24.05, ''
24.05, 24.14, '<CUTOFF-perc=percent>'
24.14, 24.365, '<SIL>'
24.365, 25.13, 's V b s t V t u: t s'
25.13, 25.19, ''
25.19, 25.46, 'f I f t i:'
25.46, 25.93, 'p 3` s E n t'
25.93, 26.04, 'V v'
26.04, 26.12, 'D V'
26.12, 26.59, 't aI m'
26.59, 26.75, 'V n d'
26.75, 26.91, 's @U'
26.91, 27.02, 'D V'
27.02, 27.535, 't i: tS 3` z'
27.535, 27.66, 'w i: R'
27.66, 28.15, 's k R i: m I N'
28.15, 28.26, '<VOCNOISE>'
28.26, 28.61, ''
28.61, 28.68, 'V n d'
28.68, 28.74, 'D eI'
