start;end;utterance
0.362000;0.449000;<SIL>
0.449000;0.563000;<VOCNOISE>
0.563000;1.015000;<SIL>
1.015000;1.818000;<LAUGH_um-hum_okay>
1.818000;3.289000;<IVER>
3.289000;3.843000;okay
3.843000;5.340000;<IVER>
5.340000;6.652000;<LAUGH>
6.652000;10.561000;<IVER>
10.561000;10.765000;it's
10.765000;11.040000;very
11.040000;11.726000;difficult
11.726000;14.063000;<IVER>
14.063000;14.296000;yeah
14.296000;15.204000;<SIL>
15.204000;15.320000;i
15.320000;15.470000;don't
15.470000;15.632000;know
15.632000;15.991000;why
15.991000;16.127677;<SIL>
16.127677;16.518248;<VOCNOISE>
16.518248;16.689000;uh
16.689000;17.151000;columbus
17.151000;17.335000;was
17.335000;17.533000;just
17.533000;17.997000;stubborn
17.997000;18.345000;about
18.345000;18.500000;it
18.500000;18.950000;until
18.950000;19.316368;<VOCNOISE>
19.316368;19.429000;the
19.429000;19.888619;last
19.888619;20.520951;year
20.520951;21.020000;<VOCNOISE>
21.020000;21.442000;uh
21.442000;21.573000;<SIL>
21.573000;21.894000;they
21.894000;22.232000;hadn't
22.232000;22.542000;<ERROR-beyn_able=been_able>
22.542000;22.810370;able
22.810370;22.899493;to
22.899493;23.143000;get
23.143000;23.619000;subs
23.619000;23.901582;fifty
23.901582;24.227000;<CUTOFF-perc=percent>
24.227000;24.272000;<SIL>
24.272000;25.147000;substitutes
25.147000;25.500000;fifty
25.500000;25.919000;percent
25.919000;25.991000;of
25.991000;26.132343;the
26.132343;26.569000;time
26.569000;26.722000;and
26.722000;26.926000;so
26.926000;27.090000;the
27.090000;27.540000;teachers
27.540000;27.669000;were
27.669000;28.163000;screaming
28.163000;28.600000;<VOCNOISE>
28.600000;28.729000;and
28.729000;28.837000;they
28.837000;28.960000;were
28.960000;29.346000;splitting
29.346000;29.450891;the
29.450891;29.804000;kids
29.804000;29.999000;up
29.999000;30.119000;and
30.119000;30.489000;putting
30.489000;30.643000;them
30.643000;30.784000;in
30.784000;31.049000;other
31.049000;31.760000;classrooms
31.760000;31.982000;well
31.982000;32.523820;<VOCNOISE>
32.523820;32.645000;<SIL>
32.645000;32.745000;i
32.745000;32.951000;don't
32.951000;33.056573;know
33.056573;33.156000;if
33.156000;33.263493;the
33.263493;33.761000;parents
33.761000;34.180000;made
34.180000;35.083750;anything
35.083750;35.420000;about
35.420000;35.540000;it
35.540000;35.663000;but
35.663000;35.801000;i
35.801000;36.238000;guess
36.238000;36.373000;<SIL>
36.373000;36.924000;finally
36.924000;37.430000;<VOCNOISE>
37.430000;37.738000;yknow
37.738000;37.918000;when
37.918000;38.179000;you
38.179000;38.496000;have
38.496000;38.817000;fifty
38.817000;39.245000;percent
39.245000;39.347000;of
39.347000;39.467000;your
39.467000;40.167000;classrooms
40.167000;40.886000;uncovered
40.886000;41.462319;<VOCNOISE>
41.462319;41.608000;<SIL>
41.608000;41.847000;uh
41.847000;42.114000;they
