start;end;utterance
0.300000;0.727426;NOISE
0.727426;0.787196;ah
0.787196;0.813989;m
0.813989;0.923687;s
0.923687;1.023687;ih
1.023687;1.087074;ng
1.087074;1.156118;hh
1.156118;1.193687;iy
1.193687;1.247833;r
1.247833;1.307602;n
1.307602;1.503687;aw
1.503687;1.652817;s
1.652817;1.713687;k
1.713687;1.963000;aa
1.963000;2.013687;tq
2.013687;2.067995;aa
2.067995;2.145052;b
2.145052;2.241237;eh
2.241237;2.265169;t
2.265169;2.373687;sh
2.373687;2.405087;y
2.405087;2.441947;ah
2.441947;2.531840;ow
2.531840;2.571130;n
2.571130;2.623687;m
2.623687;2.697747;ah
2.697747;2.758547;n
2.758547;2.773687;d
2.773687;2.863687;ey
2.863687;2.922398;n
2.922398;3.072852;ay
3.072852;3.123687;t
3.123687;3.265557;s
3.265557;3.323687;g
3.323687;3.523687;ey
3.523687;3.652176;m
3.652176;3.791110;t
3.791110;3.813687;ah
3.813687;3.879734;n
3.879734;4.116751;ay
4.116751;4.150757;tq
4.150757;4.272357;n
4.272357;4.403232;ay
4.403232;4.438608;nx
4.438608;4.469184;ah
4.469184;4.613687;k
4.613687;4.643687;l
4.643687;4.803069;aa
4.803069;4.893687;k
4.893687;4.941152;l
4.941152;5.043687;ae
5.043687;5.098820;l
5.098820;5.161681;aa
5.161681;5.243687;l
5.243687;5.472074;aa
5.472074;5.613687;s
5.613687;5.677965;ah
5.677965;5.763498;ahn
5.763498;5.893687;s
5.893687;6.034119;ow
6.034119;6.099844;el
6.099844;6.184970;w
6.184970;6.310616;ih
6.310616;6.423687;n
6.423687;6.991620;VOCNOISE
6.991620;7.306500;SIL
7.306500;7.394781;ih
7.394781;7.446500;n
7.446500;7.514061;ow
7.514061;7.692598;ehn
7.692598;7.766795;w
7.766795;7.920340;iy
7.920340;8.184500;SIL
8.184500;8.274500;d
8.274500;8.409267;ow
8.409267;8.462382;n
8.462382;8.511846;tq
8.511846;8.788022;SIL
8.788022;8.850883;ih
8.850883;8.891073;k
8.891073;8.975860;s
8.975860;9.054500;ch
9.054500;9.187854;ey
9.187854;9.213617;n
9.213617;9.276478;jh
9.276478;9.342430;ih
9.342430;9.384681;n
9.384681;9.431054;iy
9.431054;9.531013;m
9.531013;9.678436;ah
9.678436;9.721657;n
9.721657;9.843881;iy
9.843881;9.934500;er
9.934500;0.020505;hh
0.020505;0.091610;ae
0.091610;0.129444;v
0.129444;0.230724;iyn
0.230724;0.334500;m
0.334500;0.410458;ah
0.410458;0.424500;nx
0.424500;0.524500;iy
0.524500;0.654500;f
0.654500;0.715062;ih
0.715062;0.743917;g
0.743917;0.824500;y
0.824500;0.894500;er
0.894500;0.952122;s
0.952122;1.095315;p
1.095315;1.122100;l
1.122100;1.246750;ae
1.246750;1.281837;n
1.281837;1.314500;d
1.314500;1.504426;aw
1.504426;1.533280;t
1.533280;1.596711;jh
1.596711;1.679542;ih
1.679542;1.884500;s
1.884500;1.974500;SIL
1.974500;2.004500;y
2.004500;2.047188;ih
2.047188;2.075648;n
2.075648;2.327577;ow
2.327577;2.502063;SIL
2.502063;2.740279;ow
2.740279;2.842063;w
2.842063;2.948163;eh
2.948163;3.092063;l
3.092063;3.162063;dh
3.162063;3.265555;ae
3.265555;3.295310;t
3.295310;3.395031;sh
3.395031;3.418071;y
3.418071;3.512877;er
3.512877;3.622063;t
3.622063;3.748864;iy
3.748864;3.822030;m
3.822030;3.880769;ae
3.880769;3.911764;t
3.911764;3.972063;s
3.972063;4.022063;SIL
4.022063;4.054919;m
4.054919;4.172397;ay
4.172397;4.330065;t
4.330065;4.404261;iy
4.404261;4.475366;m
4.475366;4.522063;l
4.522063;4.576319;uh
4.576319;4.752063;s
4.752063;4.776867;SIL
4.776867;4.872063;g
4.872063;5.012063;ow
5.012063;5.176393;ae
5.176393;5.212655;dx
5.212655;5.279158;ih
5.279158;5.364690;tq
5.364690;5.500485;en
5.500485;5.885759;IVER
